UniqueCount	AmbigCount
1	7
5	81
0	62
0	62
0	62
0	81
0	0
0	0
0	0
7	0
0	0
0	0
0	0
21	0
22	0
0	38
0	38
25	0
0	8
1	8
133	0
0	14
0	14
0	14
0	14
0	3
0	3
0	3
85	0
1	0
0	9
0	9
0	9
0	9
46	0
7	1
11	0
3	0
30	0
240	0
0	3
0	3
118	0
38	0
1	0
10	1
0	1
0	1
0	0
1	0
18	0
0	0
3	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
189	0
15	0
1	0
0	14
0	14
0	13
0	12
0	0
0	13
18	0
0	0
0	0
0	0
15	19
0	19
37	0
5	0
0	0
0	0
0	0
0	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
13	0
0	0
0	0
0	0
1	0
6	0
545	0
3	0
5	0
1	0
0	0
4	1
0	1
5	0
0	0
2	61
0	61
0	36
0	36
0	33
0	33
0	10
0	10
0	10
0	10
0	10
0	10
0	0
0	118
0	121
0	121
0	0
0	0
0	0
0	0
0	0
160	40
0	40
0	40
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
48	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
0	3
0	3
0	11
0	9
0	8
0	8
0	5
0	5
0	5
860	0
695	0
17	8
0	8
0	8
0	0
16	246
3	246
0	0
1	0
17	0
0	0
0	2
0	2
0	0
0	0
0	0
3	0
158	0
0	0
0	0
0	0
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
161	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
2	0
4	10
0	10
0	10
0	0
0	0
0	0
0	0
190	0
0	36
0	36
12	0
0	0
0	273
0	273
0	0
0	17
0	17
0	7
0	7
0	2
0	1
0	1
0	1
0	0
0	0
6	0
1	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
12	0
7	0
0	0
0	0
0	0
0	0
30	9
0	9
0	6
0	6
0	6
1	0
0	0
0	0
0	3788
0	3788
0	23
0	23
0	23
0	28
0	28
0	4
0	4
0	0
0	0
0	0
119	0
0	0
45	0
4	0
0	2
0	2
0	0
0	0
28	0
3	0
0	0
0	0
0	0
0	0
98	0
0	0
0	1
0	1
0	1
1	0
0	0
0	2
0	2
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
2	0
1	0
39	0
0	0
0	0
1	0
8	0
32	0
161	0
186	0
26	0
0	0
43	9
0	9
17	0
0	0
0	0
0	0
47	0
2	3
0	3
0	0
0	0
2	18
0	0
0	18
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
25	0
0	2
0	2
0	2
0	1
0	1
0	0
1	0
0	0
21	0
87	0
0	11
0	11
2	0
0	0
0	0
5	0
0	28
0	28
